Bourbon	Meta Critic	STDEV	Reviewers	Cost	Class	Super Cluster	Cluster	Country	Type
Russell's Reserve Single Barrel	8.79	0.25	15	4.0	Bourbon-like		R2	USA	Malt
Russell's Reserve Small Batch 10yo Bourbon	8.57	0.33	20	2.0	Bourbon-like		R2	USA	Malt
Smooth Ambler Contradiction Bourbon	8.46	0.46	4	4.0	Bourbon-like		R2	USA	Malt
Smooth Ambler Old Scout 10yo Bourbon	8.42	0.59	9	4.0	Bourbon-like		R3	USA	Malt
Smooth Ambler Old Scout 7yo Bourbon	8.46	0.35	15	3.0	Bourbon-like		R3	USA	Malt
Smooth Ambler Old Scout Single Barrel Bourbon	8.81	0.23	11	4.0	Bourbon-like		R1	USA	Malt
Smooth Ambler Old Scout Yearling Bourbon	7.92	1.02	4	3.0	Bourbon-like		R0	USA	Malt
Stagg Jr (all batches)	8.73	0.36	25	4.0	Bourbon-like		R1	USA	Bourbon
Stagg Jr (batches 1-2)	8.37	0.43	16	4.0	Bourbon-like		R1	USA	Bourbon
Stagg Jr (batches 3+)	9.01	0.24	18	4.0	Bourbon-like		R1	USA	Blend
Stagg Jr batch 1 (134.4 proof)	8.41	0.43	17	4.0	Bourbon-like		R1	USA	Blend
Stagg Jr batch 10 (126.4 proof)	8.77	0.2	3	4.0	Bourbon-like		R1	USA	Blend
Stagg Jr batch 11 (127.9 proof)	8.9	0.33	3	4.0	Bourbon-like		R1	USA	Blend
Stagg Jr batch 2 (128.7 proof)	8.04	0.82	3	4.0	Bourbon-like		R1	USA	Blend
Stagg Jr batch 3 (132.1 proof)	8.8	0.21	8	4.0	Bourbon-like		R1	USA	Malt
Stagg Jr batch 4 (132.2 proof)	8.97	0.19	5	4.0	Bourbon-like		R1	USA	Blend
Stagg Jr batch 5 (129.7 proof)	8.98	0.24	4	4.0	Bourbon-like		R1	USA	Bourbon
Stagg Jr batch 7 (129.5 proof)	8.7	0.47	4	4.0	Bourbon-like		R1	USA	Malt
Stagg Jr batch 9 (116.8 proof)	9.01	0.22	3	4.0	Bourbon-like		R1	USA	Malt
Stagg Jr batch 9 (131.9 proof)	9.1	0.07	5	4.0	Bourbon-like		R1	USA	Malt
Tincup American Whiskey	8.18	0.28	9	2.0	Bourbon-like		R3	USA	Malt
Van Winkle Special Reserve 12yo Lot B	8.74	0.23	15	5.5	Bourbon-like		R0	USA	Malt
Very Old Barton 6yo BiB	8.33	0.4	6	2.0	Bourbon-like		R2	USA	Malt
Very Old Barton 6yo	8.32	0.45	9	1.0	Bourbon-like		R2	USA	Malt
W.L. Weller 12yo	8.84	0.17	19	5.0	Bourbon-like		R0	USA	Malt
W.L. Weller Special Reserve	8.38	0.41	16	1.0	Bourbon-like		R0	USA	Blend
Wild Turkey 101 Bourbon	8.45	0.36	27	2.0	Bourbon-like		R2	USA	Rye
Wild Turkey 14yo Tradition	8.79	0.28	5	5.0	Bourbon-like		R2	USA	Bourbon
Wild Turkey 15yo American Spirit	9.15	0.3	3	5.5	Bourbon-like		R2	USA	Bourbon
Wild Turkey 17yo Master's Keep	8.87	0.33	13	5.0	Bourbon-like		R2	USA	Bourbon
Wild Turkey 81 Bourbon	8.13	0.47	18	1.0	Bourbon-like		R2	USA	Bourbon
Wild Turkey Diamond Anniversary	8.76	0.29	8	5.0	Bourbon-like		R2	USA	Bourbon
Wild Turkey Forgiven	8.36	0.5	11	3.0	Bourbon-like		R2	USA	Bourbon
Wild Turkey Kentucky Spirit Single Barrel	8.81	0.28	18	3.0	Bourbon-like		R2	USA	Bourbon
Wild Turkey Longbranch	8.5	0.25	11	3.0	Bourbon-like		R2	USA	Rye
Wild Turkey Master's Keep Decades	8.84	0.61	11	5.0	Bourbon-like		R2	USA	Rye
Wild Turkey Master's Keep Revival	8.96	0.25	6	5.0	Bourbon-like		R2	USA	Rye
Wild Turkey Rare Breed	8.72	0.31	24	3.0	Bourbon-like		R2	USA	Bourbon
Willett Family Estate 11yo Bourbon	8.93	0.33	9	5.5	Bourbon-like		R2	USA	Rye
Willett Family Estate 13yo Bourbon	9.02	0.53	5	5.5	Bourbon-like		R2	USA	Rye
Willett Family Estate 14yo Bourbon	8.87	0.39	4	5.5	Bourbon-like		R2	USA	Bourbon
Willett Family Estate 17yo Bourbon	8.92	0.6	3	5.5	Bourbon-like		R2	USA	Rye
Willett Family Estate 22yo Bourbon	9.3	0.08	4	5.5	Bourbon-like		R2	USA	Bourbon
Willett Family Estate 24yo Bourbon	9.15	0.34	3	5.5	Bourbon-like		R2	USA	Bourbon
Willett Family Estate 5yo Bourbon	8.85	0.12	3	3.0	Bourbon-like		R2	USA	Bourbon
Willett Family Estate 7yo Bourbon	8.94	0.25	4	4.0	Bourbon-like		R2	USA	Bourbon
Willett Family Estate 8yo Bourbon	9.03	0.08	3	4.0	Bourbon-like		R2	USA	Rye
Willett Family Estate 9yo Bourbon	8.51	0.32	4	4.0	Bourbon-like		R2	USA	Blend
Willett Family Estate Bourbon (all ages)	9.01	0.27	20	4.0	Bourbon-like		R2	USA	Blend
Willett Pot Still Reserve	8.54	0.49	13	3.0	Bourbon-like		R2	USA	Malt
William Heavenhill BiB	8.98	0.13	6	5.5	Bourbon-like		R2	USA	Malt
William Larue Weller	9.18	0.22	22	5.5	Bourbon-like		R0	USA	Malt
Woodford Reserve Distiller's Select	8.37	0.33	24	2.0	Bourbon-like		R2	USA	Malt
Woodford Reserve Double Oaked	8.65	0.28	18	4.0	Bourbon-like		R2	USA	Malt
Yellowstone 2015 Limited Edition	8.34	0.63	4	5.0	Bourbon-like		R3	USA	
Yellowstone 2016 Limited Edition	8.71	0.42	3	5.0	Bourbon-like		R3	USA	
Yellowstone 2018 Limited Edition	8.82	0.17	3	5.0	Bourbon-like		R3	USA	
Yellowstone Limited Edition (all vintages)	8.71	0.31	3	5.0	Bourbon-like		R3	USA	
Yellowstone Select	8.23	0.32	9	3.0	Bourbon-like		R3	USA	
